epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8787,1.78666,2.88888,1.65616,0.00683,0.82317,0.22932,0.11101,1.78413,3.01399,1.68073,0.070625,0.00326389,0.00326389
2,123.587,1.6498,1.81735,1.50991,0.69683,0.31665,0.43202,0.19954,1.90194,2.36404,1.71364,0.0405597,0.00653191,0.00653191
3,178.445,1.65709,1.6953,1.50587,0.23379,0.12831,0.09102,0.03839,2.39397,3.38491,2.36667,0.0104284,0.00973393,0.00973393
4,234.213,1.72259,1.73009,1.56096,0.32988,0.26049,0.20521,0.08052,2.3485,2.66922,2.26086,0.009703,0.009703,0.009703
5,294.354,1.6907,1.65131,1.54658,0.48779,0.379,0.37519,0.16806,2.0625,2.55285,1.92133,0.009604,0.009604,0.009604
6,352.351,1.67818,1.60122,1.53625,0.54323,0.42586,0.41183,0.18659,2.00078,2.36009,1.86697,0.009505,0.009505,0.009505
7,408.348,1.65475,1.54466,1.51985,0.58128,0.48255,0.49867,0.23554,1.95683,1.94567,1.80315,0.009406,0.009406,0.009406
8,462.32,1.64422,1.52383,1.51827,0.56834,0.47702,0.47258,0.2228,1.95209,1.9397,1.78552,0.009307,0.009307,0.009307
9,517.554,1.61862,1.47281,1.50172,0.53475,0.44573,0.44027,0.20541,1.9904,1.96095,1.9094,0.009208,0.009208,0.009208
10,576.196,1.61228,1.45779,1.49713,0.55949,0.45704,0.46665,0.21265,1.9578,1.95288,1.8097,0.009109,0.009109,0.009109
11,631.43,1.59451,1.44477,1.48121,0.58955,0.46644,0.49415,0.24364,1.89146,1.75565,1.68181,0.00901,0.00901,0.00901
12,687.135,1.57846,1.40732,1.47096,0.49695,0.39143,0.37693,0.17566,2.00069,2.5602,1.85564,0.008911,0.008911,0.008911
13,742.086,1.5831,1.4061,1.4808,0.63405,0.52992,0.56994,0.27927,1.85295,1.64996,1.7191,0.008812,0.008812,0.008812
14,808.639,1.56939,1.37682,1.46884,0.65654,0.52877,0.5683,0.28314,1.87537,1.62492,1.73542,0.008713,0.008713,0.008713
15,864.258,1.55641,1.34802,1.45242,0.6361,0.54545,0.57194,0.2832,1.82703,1.5559,1.66831,0.008614,0.008614,0.008614
