epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9861,3.21247,3.14952,3.8476,0.00173,0.05159,0.00695,0.00136,3.48374,3.92372,3.85827,0.070625,0.00326389,0.00326389
2,108.05,2.28733,2.06785,2.87722,0.05604,0.51937,0.25379,0.08389,2.87893,3.46418,3.4124,0.0405597,0.00653191,0.00653191
3,157.002,2.01947,1.89001,2.42506,0.01694,0.31991,0.05617,0.01583,2.96902,3.73433,3.40102,0.0104284,0.00973393,0.00973393
4,205.286,1.94778,1.87643,2.26819,0.37688,0.22785,0.20455,0.08315,2.47048,3.02105,2.83496,0.009703,0.009703,0.009703
5,254.14,1.86039,1.77536,2.15363,0.40002,0.37147,0.30395,0.11303,2.25342,2.6458,2.64669,0.009604,0.009604,0.009604
6,303.32,1.81554,1.74519,2.0842,0.44603,0.36287,0.32613,0.13706,2.19999,2.47803,2.53933,0.009505,0.009505,0.009505
7,352.531,1.77129,1.68958,2.0349,0.53138,0.40602,0.40781,0.18425,2.08211,2.09987,2.37476,0.009406,0.009406,0.009406
8,401.737,1.75089,1.65242,2.00986,0.58997,0.44457,0.47184,0.21152,2.05349,1.93419,2.36512,0.009307,0.009307,0.009307
9,451.388,1.72034,1.60843,1.97862,0.57004,0.46049,0.47922,0.21872,1.95951,2.26596,2.27259,0.009208,0.009208,0.009208
10,499.927,1.70639,1.59036,1.95597,0.51385,0.40142,0.41082,0.18168,2.0946,2.07802,2.34748,0.009109,0.009109,0.009109
11,548.541,1.68006,1.55578,1.92691,0.51868,0.40967,0.40185,0.18493,2.07495,2.19018,2.34852,0.00901,0.00901,0.00901
12,598.342,1.65873,1.52721,1.90773,0.56184,0.45128,0.46754,0.20779,1.98996,2.24369,2.26404,0.008911,0.008911,0.008911
13,647.407,1.65805,1.5179,1.90285,0.63039,0.50288,0.54492,0.26219,1.9372,1.69966,2.20101,0.008812,0.008812,0.008812
14,695.968,1.64259,1.48642,1.88554,0.66818,0.53953,0.57857,0.28496,1.8709,1.64204,2.1285,0.008713,0.008713,0.008713
15,745.603,1.62207,1.45757,1.86052,0.63075,0.51732,0.5506,0.26716,1.86377,1.84122,2.1089,0.008614,0.008614,0.008614
16,793.531,1.62519,1.45175,1.86632,0.64615,0.5071,0.54809,0.2593,1.94391,1.70902,2.19339,0.008515,0.008515,0.008515
17,842.115,1.60219,1.42057,1.83829,0.67226,0.54277,0.59922,0.29824,1.86272,1.58064,2.09191,0.008416,0.008416,0.008416
18,891.228,1.60365,1.43606,1.84445,0.6584,0.51227,0.55855,0.2783,1.89493,1.64834,2.1359,0.008317,0.008317,0.008317
19,939.142,1.59069,1.40148,1.82612,0.61036,0.54929,0.57921,0.28911,1.79497,1.6111,2.05291,0.008218,0.008218,0.008218
20,986.646,1.58848,1.38915,1.82579,0.62439,0.50499,0.54601,0.26138,1.90938,1.6796,2.11534,0.008119,0.008119,0.008119
21,1035.12,1.57921,1.37648,1.825,0.69798,0.55696,0.62848,0.31947,1.78614,1.48905,2.04156,0.00802,0.00802,0.00802
22,1083.61,1.56288,1.34744,1.80175,0.61204,0.40816,0.45209,0.22797,1.97523,2.14751,2.19151,0.007921,0.007921,0.007921
23,1132.57,1.56158,1.34398,1.79677,0.65133,0.55524,0.59677,0.2988,1.83043,1.55598,2.072,0.007822,0.007822,0.007822
24,1180.21,1.54437,1.32987,1.78462,0.69091,0.58113,0.64278,0.32208,1.7946,1.46582,2.02322,0.007723,0.007723,0.007723
25,1228.27,1.54325,1.30997,1.77741,0.70609,0.54948,0.62258,0.32371,1.79061,1.49492,2.02016,0.007624,0.007624,0.007624
26,1276.81,1.536,1.31115,1.77272,0.68713,0.56866,0.63179,0.33145,1.74196,1.45771,1.99223,0.007525,0.007525,0.007525
27,1326.15,1.5235,1.30483,1.76832,0.72658,0.58228,0.65514,0.33538,1.80397,1.42733,2.02628,0.007426,0.007426,0.007426
28,1374.69,1.51974,1.29107,1.75547,0.71975,0.58247,0.6571,0.34033,1.74973,1.41763,1.9902,0.007327,0.007327,0.007327
29,1423.2,1.51786,1.27552,1.75637,0.72214,0.60625,0.67418,0.35532,1.74653,1.36489,1.97345,0.007228,0.007228,0.007228
30,1471.04,1.50907,1.26241,1.74787,0.70435,0.60069,0.65403,0.33763,1.80121,1.41372,2.04012,0.007129,0.007129,0.007129
31,1518.87,1.50105,1.25853,1.73543,0.69966,0.58496,0.6434,0.33704,1.75703,1.43483,1.96916,0.00703,0.00703,0.00703
32,1568.13,1.49346,1.23626,1.7252,0.73545,0.61635,0.69492,0.37172,1.68934,1.30141,1.9247,0.006931,0.006931,0.006931
33,1616.19,1.48829,1.23609,1.72742,0.73712,0.619,0.69612,0.36608,1.69499,1.32034,1.91629,0.006832,0.006832,0.006832
34,1663.53,1.48253,1.23888,1.71685,0.735,0.6074,0.67543,0.35704,1.72443,1.36594,1.9344,0.006733,0.006733,0.006733
35,1711.88,1.47437,1.22286,1.70499,0.73237,0.62754,0.69849,0.36932,1.68025,1.36093,1.9178,0.006634,0.006634,0.006634
36,1759.55,1.46094,1.20694,1.69741,0.73896,0.58822,0.67232,0.36602,1.70666,1.3032,1.92873,0.006535,0.006535,0.006535
37,1807.41,1.4523,1.18711,1.69337,0.71135,0.51975,0.57602,0.29791,1.79462,1.68413,2.01908,0.006436,0.006436,0.006436
38,1855.41,1.45581,1.18382,1.69256,0.67295,0.52992,0.5768,0.29772,1.81417,1.58832,2.03114,0.006337,0.006337,0.006337
39,1902.75,1.45362,1.18534,1.69053,0.70546,0.61623,0.67307,0.35616,1.73702,1.35049,1.94653,0.006238,0.006238,0.006238
40,1950.99,1.44797,1.18808,1.68132,0.73873,0.63042,0.70539,0.37786,1.68647,1.29422,1.89702,0.006139,0.006139,0.006139
41,1998.54,1.44766,1.16916,1.68093,0.76293,0.6331,0.70188,0.38587,1.66051,1.30735,1.87269,0.00604,0.00604,0.00604
42,2047.72,1.43367,1.16418,1.67487,0.75335,0.65374,0.71475,0.39107,1.67571,1.23651,1.89591,0.005941,0.005941,0.005941
43,2095.7,1.43355,1.15713,1.67278,0.74687,0.61853,0.69731,0.37833,1.66431,1.31754,1.88663,0.005842,0.005842,0.005842
44,2142.85,1.42171,1.13474,1.65473,0.76972,0.65554,0.72824,0.40436,1.63141,1.20524,1.84306,0.005743,0.005743,0.005743
45,2191.6,1.42856,1.15758,1.67222,0.7569,0.65985,0.73218,0.40483,1.64865,1.22077,1.86287,0.005644,0.005644,0.005644
46,2240.84,1.41128,1.12353,1.65216,0.77406,0.63387,0.71254,0.3985,1.62495,1.27382,1.83877,0.005545,0.005545,0.005545
47,2288.38,1.4161,1.12573,1.64906,0.77642,0.63636,0.71939,0.41129,1.63486,1.24079,1.87257,0.005446,0.005446,0.005446
48,2336.79,1.40022,1.11605,1.64389,0.77203,0.67357,0.74199,0.41682,1.60418,1.17185,1.82475,0.005347,0.005347,0.005347
