epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5285,1.77915,2.93001,1.65699,0.0067,0.80667,0.19569,0.09353,1.71383,3.10434,1.62871,0.070625,0.00326389,0.00326389
2,97.5827,1.6476,1.85081,1.51659,0.67752,0.27844,0.37803,0.18684,1.82389,2.50212,1.69302,0.0405597,0.00653191,0.00653191
3,141.176,1.65805,1.71023,1.51195,0.28294,0.24204,0.17531,0.07419,2.24981,2.8035,2.04759,0.0104284,0.00973393,0.00973393
4,188.614,1.7259,1.73424,1.57092,0.38827,0.21346,0.20123,0.08923,2.2633,2.92736,2.09972,0.009703,0.009703,0.009703
5,236.133,1.69548,1.65187,1.5508,0.44368,0.36249,0.33397,0.13397,2.13635,2.60794,1.96527,0.009604,0.009604,0.009604
6,282.054,1.67797,1.61062,1.54205,0.46369,0.31204,0.29763,0.1245,2.19381,2.44884,1.98712,0.009505,0.009505,0.009505
7,329.29,1.65302,1.55247,1.52518,0.51551,0.35002,0.3606,0.17137,1.9982,2.21185,1.78431,0.009406,0.009406,0.009406
8,374.781,1.63826,1.52089,1.51105,0.57498,0.4555,0.46556,0.21434,1.95759,1.84699,1.76818,0.009307,0.009307,0.009307
9,420.192,1.62347,1.47452,1.50049,0.43665,0.32643,0.29706,0.14349,1.96231,2.43219,1.81228,0.009208,0.009208,0.009208
10,466.538,1.612,1.46823,1.49663,0.54658,0.4532,0.46484,0.21635,1.99595,1.86317,1.8013,0.009109,0.009109,0.009109
11,510.935,1.58976,1.44478,1.48413,0.49098,0.30418,0.30969,0.14374,2.0636,2.37551,1.84003,0.00901,0.00901,0.00901
12,555.867,1.5785,1.41148,1.47004,0.56235,0.40123,0.4262,0.19981,2.04295,1.96599,1.86359,0.008911,0.008911,0.008911
13,600.234,1.58123,1.40313,1.4782,0.57472,0.40487,0.42681,0.19931,2.01507,2.18984,1.78671,0.008812,0.008812,0.008812
14,646.627,1.56196,1.38007,1.46143,0.65805,0.52915,0.568,0.27886,1.83658,1.61476,1.68029,0.008713,0.008713,0.008713
15,692.996,1.54907,1.34985,1.44905,0.65484,0.54987,0.59342,0.30017,1.83425,1.55414,1.65418,0.008614,0.008614,0.008614
16,739.989,1.55516,1.35897,1.45917,0.67969,0.51362,0.57663,0.28518,1.82649,1.59128,1.68401,0.008515,0.008515,0.008515
17,786.136,1.54271,1.32222,1.4495,0.63847,0.49866,0.54689,0.28371,1.83741,1.73633,1.68339,0.008416,0.008416,0.008416
18,833.31,1.53465,1.33357,1.44847,0.6028,0.48288,0.5177,0.2624,1.91226,1.74992,1.69268,0.008317,0.008317,0.008317
19,878.833,1.52718,1.30532,1.43594,0.5455,0.39451,0.41199,0.20044,1.94474,2.02213,1.74319,0.008218,0.008218,0.008218
20,923.737,1.52477,1.29598,1.44272,0.6802,0.55869,0.61703,0.31804,1.77776,1.46177,1.62168,0.008119,0.008119,0.008119
21,970.449,1.51136,1.28397,1.43915,0.70223,0.53688,0.60526,0.31028,1.79839,1.54564,1.63169,0.00802,0.00802,0.00802
22,1016.6,1.49962,1.25976,1.42225,0.69942,0.55639,0.62202,0.31653,1.77703,1.47679,1.6369,0.007921,0.007921,0.007921
23,1062.26,1.50555,1.25461,1.4274,0.70269,0.57886,0.63759,0.33438,1.73668,1.40777,1.5741,0.007822,0.007822,0.007822
24,1110.82,1.48591,1.2404,1.4121,0.73586,0.59954,0.672,0.35776,1.71282,1.33363,1.5678,0.007723,0.007723,0.007723
25,1157.54,1.47648,1.22279,1.40376,0.71853,0.58067,0.65444,0.34535,1.722,1.37398,1.57174,0.007624,0.007624,0.007624
26,1203.95,1.46767,1.22809,1.40209,0.70063,0.52359,0.56988,0.29671,1.79652,1.63708,1.64529,0.007525,0.007525,0.007525
27,1249.27,1.45902,1.22341,1.4022,0.66688,0.55443,0.59368,0.30179,1.78883,1.49901,1.61195,0.007426,0.007426,0.007426
28,1294.93,1.46546,1.21376,1.394,0.7189,0.61949,0.67998,0.35638,1.70954,1.3079,1.56105,0.007327,0.007327,0.007327
29,1342.22,1.4585,1.19735,1.39667,0.70821,0.59583,0.65397,0.34904,1.70269,1.34802,1.55951,0.007228,0.007228,0.007228
30,1386.06,1.44688,1.19189,1.39442,0.72446,0.62102,0.68313,0.35986,1.66963,1.28762,1.53234,0.007129,0.007129,0.007129
31,1431.42,1.44303,1.17011,1.38202,0.68387,0.54603,0.607,0.30766,1.78546,1.42415,1.63648,0.00703,0.00703,0.00703
32,1481.48,1.43718,1.16177,1.37578,0.71445,0.60664,0.66666,0.36399,1.67651,1.32676,1.54271,0.006931,0.006931,0.006931
33,1528.08,1.42457,1.15701,1.3655,0.74469,0.61642,0.6959,0.38219,1.64331,1.25647,1.50588,0.006832,0.006832,0.006832
34,1570.38,1.42716,1.15165,1.3655,0.76941,0.6105,0.69196,0.37851,1.65184,1.29165,1.50625,0.006733,0.006733,0.006733
35,1616.22,1.42045,1.13768,1.35832,0.75246,0.63464,0.70824,0.38291,1.65974,1.25937,1.51074,0.006634,0.006634,0.006634
36,1657.39,1.40425,1.12434,1.34917,0.73658,0.62946,0.69416,0.38243,1.66291,1.293,1.52171,0.006535,0.006535,0.006535
37,1700.82,1.40186,1.10506,1.3456,0.7661,0.63694,0.71601,0.39323,1.62219,1.23188,1.48628,0.006436,0.006436,0.006436
38,1742.92,1.39982,1.1048,1.34978,0.76425,0.6435,0.72338,0.40411,1.615,1.19234,1.47945,0.006337,0.006337,0.006337
39,1784.64,1.39351,1.1003,1.346,0.70638,0.57346,0.64224,0.34162,1.7181,1.36828,1.55824,0.006238,0.006238,0.006238
40,1827.71,1.40043,1.11364,1.3518,0.72898,0.63445,0.69918,0.38747,1.62635,1.28921,1.49249,0.006139,0.006139,0.006139
41,1871.36,1.38903,1.09811,1.34186,0.77053,0.65171,0.72979,0.41175,1.58793,1.16847,1.45892,0.00604,0.00604,0.00604
42,1913.57,1.37995,1.07708,1.33755,0.73241,0.62582,0.68414,0.37872,1.63116,1.31519,1.48603,0.005941,0.005941,0.005941
43,1956.62,1.37512,1.0759,1.33102,0.78537,0.66283,0.74964,0.42277,1.62272,1.13695,1.47965,0.005842,0.005842,0.005842
44,1999.73,1.37096,1.06095,1.32053,0.73067,0.61346,0.67471,0.37767,1.6382,1.2808,1.49607,0.005743,0.005743,0.005743
45,2045.35,1.3707,1.06837,1.33193,0.77721,0.687,0.75099,0.42933,1.57327,1.11359,1.44387,0.005644,0.005644,0.005644
46,2090.6,1.36069,1.05438,1.32127,0.76923,0.66616,0.73425,0.41941,1.57222,1.18253,1.45335,0.005545,0.005545,0.005545
47,2133.22,1.36272,1.04827,1.32003,0.71651,0.53625,0.60002,0.32562,1.70669,1.52877,1.55152,0.005446,0.005446,0.005446
48,2178,1.34442,1.03983,1.31088,0.79714,0.68279,0.76034,0.43875,1.55722,1.09479,1.44301,0.005347,0.005347,0.005347
49,2222.5,1.3511,1.0317,1.31296,0.78179,0.68164,0.75826,0.44256,1.551,1.10031,1.43089,0.005248,0.005248,0.005248
50,2266.66,1.34252,1.03912,1.30967,0.76672,0.64557,0.73079,0.42588,1.54821,1.16158,1.43002,0.005149,0.005149,0.005149
51,2307.82,1.334,1.02615,1.30554,0.79519,0.65976,0.74721,0.43508,1.54566,1.11792,1.41326,0.00505,0.00505,0.00505
52,2350.14,1.33241,1.0168,1.30425,0.78572,0.67587,0.74773,0.42622,1.56821,1.11116,1.43418,0.004951,0.004951,0.004951
53,2392.9,1.3231,1.00673,1.29438,0.81159,0.67495,0.76521,0.4458,1.5408,1.09087,1.4228,0.004852,0.004852,0.004852
54,2436.71,1.32381,0.99877,1.29152,0.7673,0.64941,0.72565,0.41142,1.60134,1.17944,1.4773,0.004753,0.004753,0.004753
55,2479.89,1.3194,0.99681,1.29351,0.79818,0.70316,0.78027,0.45446,1.52735,1.06219,1.41493,0.004654,0.004654,0.004654
56,2524.41,1.31339,0.99154,1.28303,0.7591,0.64308,0.72261,0.41743,1.58947,1.17511,1.4383,0.004555,0.004555,0.004555
57,2567.32,1.3068,0.97839,1.27917,0.80344,0.70982,0.77689,0.46669,1.50561,1.04532,1.40555,0.004456,0.004456,0.004456
58,2611.01,1.29753,0.97097,1.28586,0.7861,0.6987,0.76792,0.45196,1.5294,1.0822,1.41139,0.004357,0.004357,0.004357
59,2657.17,1.30039,0.97598,1.28166,0.79201,0.70061,0.77553,0.46225,1.50514,1.03658,1.40205,0.004258,0.004258,0.004258
60,2700.94,1.29199,0.96712,1.27568,0.82595,0.70387,0.78838,0.47531,1.48338,1.02379,1.38218,0.004159,0.004159,0.004159
61,2744.29,1.28189,0.95494,1.27195,0.81191,0.71634,0.7928,0.4699,1.50066,1.02253,1.39618,0.00406,0.00406,0.00406
62,2788.1,1.28112,0.94867,1.26742,0.81226,0.73269,0.8018,0.48686,1.45305,1.01255,1.36606,0.003961,0.003961,0.003961
63,2832.32,1.27635,0.94293,1.26469,0.81488,0.72209,0.79645,0.48278,1.45659,1.01037,1.36276,0.003862,0.003862,0.003862
64,2872.81,1.27459,0.93295,1.26479,0.83044,0.71671,0.79708,0.48403,1.47174,1.00368,1.37362,0.003763,0.003763,0.003763
65,2914.51,1.26815,0.93816,1.25885,0.81326,0.69294,0.77286,0.46234,1.48706,1.04546,1.38744,0.003664,0.003664,0.003664
66,2958.88,1.26913,0.92904,1.26145,0.81073,0.72211,0.79348,0.48802,1.45086,0.98551,1.3706,0.003565,0.003565,0.003565
67,3005.06,1.25847,0.92437,1.25442,0.82587,0.69659,0.78356,0.47078,1.48702,1.03317,1.3946,0.003466,0.003466,0.003466
68,3046.67,1.24451,0.91237,1.24814,0.80883,0.73015,0.80216,0.491,1.45607,0.96672,1.37507,0.003367,0.003367,0.003367
69,3089.14,1.24483,0.90554,1.24674,0.83016,0.71718,0.79469,0.49133,1.43818,0.98937,1.3542,0.003268,0.003268,0.003268
70,3133.62,1.24671,0.89732,1.24572,0.82035,0.73481,0.80581,0.50147,1.4288,0.98248,1.34602,0.003169,0.003169,0.003169
71,3177.03,1.22945,0.88706,1.23019,0.83859,0.7359,0.81332,0.50794,1.42264,0.94594,1.33813,0.00307,0.00307,0.00307
72,3220.99,1.23105,0.89216,1.23426,0.85279,0.71634,0.8058,0.50818,1.4269,0.95247,1.34365,0.002971,0.002971,0.002971
73,3266.89,1.22645,0.88542,1.23308,0.83597,0.68508,0.77651,0.4764,1.47334,1.05222,1.38103,0.002872,0.002872,0.002872
74,3311.89,1.23255,0.88426,1.24037,0.82949,0.743,0.81216,0.50993,1.40727,0.94449,1.33699,0.002773,0.002773,0.002773
75,3355.12,1.21575,0.87753,1.22552,0.829,0.72593,0.80412,0.50928,1.41149,0.96772,1.33938,0.002674,0.002674,0.002674
76,3395.4,1.21026,0.8681,1.22048,0.8381,0.72842,0.81073,0.516,1.39784,0.93526,1.32501,0.002575,0.002575,0.002575
